,1200,1150,1100,1050,1000,950
0,780,840,900,1000,1060,1140
1000,720,775,830,910,970,1060
2000,680,730,760,840,900,960
3000,620,670,720,780,830,880
4000,580,630,680,720,760,820
5000,520,580,620,650,700,760
6000,500,530,560,580,640,680
7000,440,480,510,530,580,610
8000,400,430,460,480,520,550
9000,340,370,400,420,450,470
10000,300,320,340,360,380,400
11000,280,300,320,340,360,375
12000,250,270,290,310,330,350
13000,230,250,265,285,300,325
14000,200,220,240,260,280,300
15000,175,195,215,225,235,250
16000,100,100,120,140,160,200
17000,50,50,60,75,80,100
